star_rating,review_score,review_date
5,0.8588,2015/8/31
4,0.9647,2015/8/31
5,0.6696,2015/8/31
5,0,2015/8/31
4,0.9485,2015/8/31
5,0.5719,2015/8/31
1,0.2003,2015/8/31
3,0.6449,2015/8/31
5,0.5719,2015/8/31
5,0.7305,2015/8/31
5,0.906,2015/8/30
5,0.8934,2015/8/30
3,-0.1531,2015/8/30
4,0.68,2015/8/30
2,0.9516,2015/8/30
5,0.7579,2015/8/30
5,0.4767,2015/8/30
4,0.9166,2015/8/30
5,0.6249,2015/8/29
5,0.5719,2015/8/29
5,0.4404,2015/8/29
1,0.4452,2015/8/29
5,0.8709,2015/8/29
5,0.9202,2015/8/29
5,0.9274,2015/8/29
5,0.9005,2015/8/29
5,0.7906,2015/8/29
2,0,2015/8/29
5,0.9481,2015/8/28
3,0.8519,2015/8/28
5,0.9649,2015/8/28
4,0.845,2015/8/28
5,0.8619,2015/8/28
5,0.8321,2015/8/28
5,0.8126,2015/8/28
5,0.6249,2015/8/28
5,0.926,2015/8/27
5,0.9412,2015/8/27
3,0.6157,2015/8/27
5,0.7845,2015/8/27
5,0.9051,2015/8/27
5,0.3089,2015/8/27
1,-0.3412,2015/8/27
5,0.9231,2015/8/27
5,0.9327,2015/8/27
5,0.9476,2015/8/27
3,0.8055,2015/8/26
1,-0.7506,2015/8/26
1,-0.7906,2015/8/26
5,0.4754,2015/8/26
3,0,2015/8/26
5,0.9344,2015/8/26
5,0.8225,2015/8/26
4,0.9574,2015/8/26
5,0.765,2015/8/26
2,-0.4144,2015/8/26
5,0.4588,2015/8/26
3,0.6808,2015/8/26
2,0.4215,2015/8/26
4,0.6784,2015/8/25
5,0.9874,2015/8/25
5,0.8179,2015/8/25
5,0.8858,2015/8/25
5,0.7485,2015/8/25
3,0.9966,2015/8/25
4,0.4404,2015/8/25
1,0,2015/8/25
4,0.7888,2015/8/24
4,0.9299,2015/8/24
5,0.6249,2015/8/24
5,0.91,2015/8/24
5,0.9199,2015/8/24
4,0.6213,2015/8/24
2,0.7096,2015/8/24
3,0,2015/8/24
4,0.4404,2015/8/24
5,0.3912,2015/8/24
5,0.8176,2015/8/23
5,0.3549,2015/8/23
3,0.4664,2015/8/23
1,0.6732,2015/8/23
5,0.6369,2015/8/23
5,0.9164,2015/8/23
3,0,2015/8/23
5,0.8713,2015/8/23
5,0.9686,2015/8/23
4,0.2124,2015/8/23
5,0.4404,2015/8/22
4,0,2015/8/22
5,0.7405,2015/8/22
5,0.9664,2015/8/22
3,0.7783,2015/8/22
5,0.9595,2015/8/22
1,0.1331,2015/8/22
5,0.8555,2015/8/22
5,0.978,2015/8/22
5,0.9741,2015/8/22
3,0.9617,2015/8/22
5,0.9676,2015/8/22
5,0.8508,2015/8/22
1,0.7777,2015/8/22
5,0.4215,2015/8/21
4,0.6249,2015/8/21
2,0,2015/8/21
1,-0.4767,2015/8/21
5,0.8715,2015/8/21
5,0,2015/8/21
5,0.9377,2015/8/21
4,0.6213,2015/8/21
5,0.4215,2015/8/21
5,0.4692,2015/8/21
