star_rating,review_score,review_date
1,-0.7375,2015/8/31
5,0.6452,2015/8/31
4,0.8155,2015/8/31
3,-0.395,2015/8/31
4,0,2015/8/31
5,0.9229,2015/8/31
1,-0.0644,2015/8/30
4,0.91,2015/8/29
5,0.8947,2015/8/29
2,0.8834,2015/8/28
5,0.9663,2015/8/28
4,0.3384,2015/8/27
5,0.6696,2015/8/27
3,0.6938,2015/8/27
1,-0.9555,2015/8/26
5,0.6644,2015/8/25
1,0.1443,2015/8/25
5,0.9882,2015/8/24
4,0.9368,2015/8/24
4,0.9485,2015/8/24
4,0.5423,2015/8/24
1,-0.7626,2015/8/24
5,0.4404,2015/8/24
5,0.7474,2015/8/24
5,0.8807,2015/8/23
3,0.2946,2015/8/21
5,0.4215,2015/8/21
5,0.6705,2015/8/20
5,0.9231,2015/8/20
5,0.5719,2015/8/20
5,0.6249,2015/8/20
5,0.5719,2015/8/20
4,0.8228,2015/8/19
5,0.2732,2015/8/19
3,-0.3439,2015/8/19
4,0.9447,2015/8/19
5,0.4404,2015/8/18
4,0.9001,2015/8/18
5,0.9365,2015/8/18
5,0.9084,2015/8/18
5,0.6369,2015/8/18
3,0.9819,2015/8/17
1,-0.2144,2015/8/17
5,0.955,2015/8/16
5,0.3612,2015/8/15
4,0.902,2015/8/15
1,0.6348,2015/8/15
5,0.8666,2015/8/13
5,0.8694,2015/8/13
5,0.95,2015/8/13
1,-0.9096,2015/8/12
5,0.4404,2015/8/12
4,0.9616,2015/8/11
5,-0.0895,2015/8/11
1,0.8356,2015/8/10
5,0.963,2015/8/10
5,0.6696,2015/8/9
5,0.9286,2015/8/9
2,0.3818,2015/8/9
2,-0.5574,2015/8/9
4,0.6249,2015/8/9
5,0.6588,2015/8/9
3,-0.8875,2015/8/8
5,0.4927,2015/8/7
5,0.8143,2015/8/6
5,0.9792,2015/8/6
4,0.9678,2015/8/5
5,0.9538,2015/8/5
4,0.734,2015/8/5
5,0.9508,2015/8/4
5,0.9217,2015/8/4
1,-0.8703,2015/8/4
5,0.4927,2015/8/4
5,0.807,2015/8/4
5,0.7717,2015/8/3
5,0.92,2015/8/2
2,-0.9154,2015/8/2
4,0,2015/8/2
5,0.5719,2015/8/1
5,0.9822,2015/8/1
5,0.6696,2015/8/1
4,0.9319,2015/8/1
5,0.7612,2015/8/1
1,-0.3036,2015/7/31
4,0.9723,2015/7/31
5,0.6249,2015/7/31
5,0.6249,2015/7/30
3,0.9225,2015/7/30
1,-0.8655,2015/7/28
5,0.9353,2015/7/28
4,0.8057,2015/7/27
1,-0.7701,2015/7/27
4,0.9421,2015/7/27
4,0.7684,2015/7/27
2,-0.8173,2015/7/26
5,0.2023,2015/7/26
5,0.7845,2015/7/25
5,0.8126,2015/7/25
1,-0.7351,2015/7/25
3,-0.5789,2015/7/25
5,0.969,2015/7/25
3,-0.0703,2015/7/24
4,0.946,2015/7/24
5,0.4404,2015/7/24
5,0.3716,2015/7/24
5,0.4753,2015/7/24
5,0,2015/7/23
4,0.0829,2015/7/23
3,0,2015/7/23
5,0.5994,2015/7/23
5,0.9843,2015/7/23
5,0.9694,2015/7/22
4,0.4466,2015/7/21
4,0.7841,2015/7/21
4,0.8047,2015/7/21
5,0.5719,2015/7/21
5,0.2732,2015/7/21
1,-0.9666,2015/7/21
4,0.9647,2015/7/19
4,-0.6767,2015/7/18
1,-0.783,2015/7/18
5,0.9349,2015/7/17
5,0.7905,2015/7/17
5,0.6369,2015/7/17
5,0.8078,2015/7/17
5,0.9602,2015/7/16
4,0.9544,2015/7/16
2,0.6468,2015/7/15
5,0.3384,2015/7/14
1,-0.4215,2015/7/14
4,0.6019,2015/7/14
3,0.4766,2015/7/11
4,0.4404,2015/7/9
1,-0.4215,2015/7/9
4,0.9152,2015/7/9
4,0.7351,2015/7/8
4,0.3716,2015/7/7
1,-0.8314,2015/7/7
5,0.6908,2015/7/7
4,0.1531,2015/7/6
1,0,2015/7/6
4,-0.8402,2015/7/6
5,0.893,2015/7/5
4,0.9617,2015/7/5
4,0.9328,2015/7/5
4,0.8561,2015/7/5
2,0.4574,2015/7/4
3,-0.4023,2015/7/4
4,0.9447,2015/7/4
1,-0.9438,2015/7/3
5,0.6115,2015/7/3
5,0,2015/7/3
1,0.9886,2015/7/2
5,0.8672,2015/7/1
4,0.4754,2015/7/1
4,0.9201,2015/6/29
5,0.6588,2015/6/28
5,0.7872,2015/6/27
4,0.6956,2015/6/27
1,0.7211,2015/6/26
1,-0.5423,2015/6/26
5,0.4404,2015/6/26
5,0.6249,2015/6/25
5,0.7579,2015/6/24
5,0.7498,2015/6/24
5,0,2015/6/24
1,-0.7758,2015/6/23
5,0.6588,2015/6/23
5,0,2015/6/22
5,-0.296,2015/6/22
4,0.9668,2015/6/21
4,0.8298,2015/6/20
4,0.8016,2015/6/19
5,0.7845,2015/6/18
3,-0.6249,2015/6/18
5,0.8684,2015/6/18
3,-0.6395,2015/6/18
2,0.7003,2015/6/17
1,-0.2057,2015/6/17
1,-0.7929,2015/6/16
5,0.6115,2015/6/16
1,-0.968,2015/6/15
5,0.8402,2015/6/15
5,0.8588,2015/6/15
4,0.9426,2015/6/14
5,0.6249,2015/6/14
5,0.7717,2015/6/14
5,0.4927,2015/6/14
5,0.9468,2015/6/11
1,-0.8016,2015/6/11
4,0.8038,2015/6/10
1,-0.584,2015/6/10
5,0.981,2015/6/9
5,0.9972,2015/6/9
4,0.2023,2015/6/9
3,-0.223,2015/6/9
1,-0.4404,2015/6/8
5,0.9392,2015/6/7
1,-0.2584,2015/6/7
4,0.6746,2015/6/6
5,0.8906,2015/6/6
4,0.8692,2015/6/5
5,0.91,2015/6/5
5,0.9118,2015/6/5
4,0.4939,2015/6/5
4,0.4927,2015/6/4
5,0,2015/6/3
1,-0.7621,2015/6/3
4,0.891,2015/6/3
5,0.9425,2015/6/3
5,0,2015/6/3
5,0.7574,2015/6/3
5,0,2015/6/2
1,-0.8439,2015/6/1
2,-0.6808,2015/6/1
5,0.9147,2015/6/1
4,0.5696,2015/5/31
4,0.8481,2015/5/30
4,0.9293,2015/5/30
4,0.3796,2015/5/30
5,0.2732,2015/5/30
5,0.6249,2015/5/30
5,0.9493,2015/5/30
5,0.5752,2015/5/28
4,0.8954,2015/5/27
5,0.8306,2015/5/27
4,0.9493,2015/5/26
5,0.9299,2015/5/26
5,0.4754,2015/5/26
3,0.9002,2015/5/25
4,0.9227,2015/5/25
5,0.775,2015/5/25
5,0.8193,2015/5/24
5,0.7003,2015/5/24
2,0.6892,2015/5/23
2,0,2015/5/22
4,0.9656,2015/5/20
1,-0.7269,2015/5/19
5,0.8858,2015/5/19
5,0.9286,2015/5/19
5,0.6588,2015/5/19
5,0.4404,2015/5/17
3,-0.8402,2015/5/17
5,0.6369,2015/5/17
3,-0.8515,2015/5/16
5,0.926,2015/5/16
1,-0.7774,2015/5/16
3,0.7022,2015/5/15
2,-0.7697,2015/5/13
5,0.6249,2015/5/13
5,0.8906,2015/5/11
4,0.9199,2015/5/11
3,0,2015/5/11
1,0.4389,2015/5/9
5,0.2023,2015/5/8
4,0.9359,2015/5/8
4,-0.8625,2015/5/8
5,0.9488,2015/5/8
3,-0.0387,2015/5/7
5,0.7906,2015/5/7
5,0.4404,2015/5/7
4,0.952,2015/5/6
3,0.631,2015/5/6
5,0.967,2015/5/5
4,0.8707,2015/5/3
5,0.9478,2015/5/3
5,0.755,2015/5/3
5,0.8519,2015/5/3
4,0.9591,2015/5/2
5,0.8655,2015/5/1
4,0.9542,2015/4/30
5,0.9473,2015/4/28
1,-0.1431,2015/4/28
4,0.9582,2015/4/28
1,-0.9081,2015/4/27
4,0.6124,2015/4/27
2,0.2912,2015/4/27
3,0.1178,2015/4/27
5,0.6114,2015/4/26
2,-0.9299,2015/4/26
1,-0.3089,2015/4/26
4,0.4404,2015/4/25
5,0.9294,2015/4/23
1,-0.6145,2015/4/23
1,-0.9594,2015/4/23
5,0.765,2015/4/22
1,-0.8456,2015/4/22
5,0.4215,2015/4/21
5,0.6588,2015/4/21
1,0.4048,2015/4/21
4,0.2644,2015/4/21
5,0.8745,2015/4/19
5,0.7964,2015/4/19
4,0.9699,2015/4/18
5,0.8684,2015/4/18
3,0,2015/4/16
5,0.9036,2015/4/16
4,0,2015/4/16
1,0,2015/4/16
4,0.6124,2015/4/16
1,-0.4939,2015/4/16
4,0.8,2015/4/16
1,-0.6688,2015/4/15
5,0,2015/4/14
1,0.3252,2015/4/14
5,0.9332,2015/4/13
5,0.6249,2015/4/13
5,0.4215,2015/4/13
3,0.9246,2015/4/13
5,0.7796,2015/4/13
5,0.9467,2015/4/11
4,0.2263,2015/4/10
5,0.9493,2015/4/10
4,0.3818,2015/4/9
5,0.8715,2015/4/8
5,0.8957,2015/4/8
5,0.9354,2015/4/7
1,0,2015/4/7
1,-0.5216,2015/4/7
5,0.9153,2015/4/6
5,0,2015/4/5
5,0.8345,2015/4/5
5,0.8211,2015/4/4
5,0.9243,2015/4/3
4,0.9238,2015/4/2
5,0.9369,2015/4/2
2,0.8922,2015/4/2
5,0.4215,2015/4/2
5,0.8036,2015/4/2
1,-0.1954,2015/3/31
4,0.8765,2015/3/31
1,-0.3956,2015/3/29
5,0.6892,2015/3/26
5,0.8176,2015/3/26
4,0.9,2015/3/26
5,0.2105,2015/3/25
5,0.9551,2015/3/24
1,-0.1027,2015/3/24
4,0.8801,2015/3/23
4,0.9296,2015/3/23
5,-0.0516,2015/3/23
4,-0.7672,2015/3/22
5,0,2015/3/22
1,-0.2392,2015/3/21
5,0.5719,2015/3/21
5,0.8984,2015/3/18
1,-0.7906,2015/3/17
3,0.8481,2015/3/16
5,0.969,2015/3/16
1,0.0923,2015/3/16
5,0.872,2015/3/16
4,0.9014,2015/3/16
1,-0.4215,2015/3/15
4,0.9285,2015/3/15
3,0.9755,2015/3/15
