star_rating,review_score,review_date
5,0.902,2015/8/31
5,0.9289,2015/8/31
5,0.5719,2015/8/31
5,0.5719,2015/8/31
5,0.6239,2015/8/31
5,0.6249,2015/8/31
5,0.6249,2015/8/31
3,0.3612,2015/8/31
5,0.9538,2015/8/31
5,0.9798,2015/8/31
5,0.7003,2015/8/31
5,0.8478,2015/8/31
4,0.4404,2015/8/31
5,0.855,2015/8/31
5,0.5095,2015/8/31
5,0.9213,2015/8/30
4,-0.1581,2015/8/30
5,0.4404,2015/8/30
5,0.4199,2015/8/30
5,0.5994,2015/8/30
5,0.991,2015/8/30
5,0.938,2015/8/30
5,0.5719,2015/8/30
5,0.5927,2015/8/30
5,0.4926,2015/8/30
5,0.893,2015/8/29
5,0.8774,2015/8/29
5,0.7964,2015/8/29
2,0.8009,2015/8/29
5,0.9509,2015/8/29
5,0.5368,2015/8/29
4,0.8979,2015/8/29
5,0.6369,2015/8/29
5,0.6784,2015/8/29
5,0,2015/8/28
2,0.9128,2015/8/28
5,0.5994,2015/8/28
5,0.8757,2015/8/28
5,-0.6169,2015/8/28
5,0.6588,2015/8/28
4,0.4404,2015/8/28
5,0.8906,2015/8/28
5,0.8395,2015/8/28
5,0.9771,2015/8/27
5,0.9378,2015/8/27
2,0.0387,2015/8/27
5,0.8261,2015/8/27
5,0,2015/8/27
4,0.4215,2015/8/27
5,0.0757,2015/8/27
3,0.8869,2015/8/27
3,0,2015/8/27
5,0.8992,2015/8/27
5,0.837,2015/8/27
3,0.7021,2015/8/27
5,0.9365,2015/8/27
5,0.3818,2015/8/27
5,0.8122,2015/8/27
1,-0.7217,2015/8/27
5,0.7489,2015/8/27
4,0.8988,2015/8/27
5,0.928,2015/8/27
5,0,2015/8/26
5,0.9259,2015/8/26
5,0.9796,2015/8/26
5,0.9324,2015/8/26
3,0.5106,2015/8/26
5,0.941,2015/8/26
5,0.6988,2015/8/26
2,0.5551,2015/8/26
5,0.8927,2015/8/26
5,0.6114,2015/8/26
5,0,2015/8/26
5,0.7096,2015/8/26
3,0.2217,2015/8/26
4,0.5719,2015/8/26
4,0.4019,2015/8/26
5,0.5949,2015/8/26
2,0.1002,2015/8/25
5,0.9156,2015/8/25
5,0.4482,2015/8/25
5,0.5719,2015/8/25
5,0.6369,2015/8/25
5,0.8997,2015/8/25
5,0.0516,2015/8/25
1,-0.5815,2015/8/25
5,0.0626,2015/8/25
5,0.9033,2015/8/25
5,0.9638,2015/8/25
5,0.802,2015/8/25
5,0,2015/8/25
5,0.8918,2015/8/25
5,-0.8279,2015/8/25
5,0.925,2015/8/25
5,0.3164,2015/8/25
2,0,2015/8/25
5,0,2015/8/25
5,0.9509,2015/8/24
5,0.2924,2015/8/24
5,0.9282,2015/8/24
4,0.0617,2015/8/24
3,0.6249,2015/8/24
5,0.9181,2015/8/24
4,0,2015/8/24
5,0.9584,2015/8/24
4,-0.128,2015/8/24
1,-0.2235,2015/8/24
5,0.8481,2015/8/24
5,0.9184,2015/8/24
5,0.8268,2015/8/24
5,0.765,2015/8/24
5,0.9704,2015/8/24
5,0.9195,2015/8/24
5,0.8779,2015/8/23
5,0.9108,2015/8/23
2,-0.6381,2015/8/23
5,0.8192,2015/8/23
2,-0.1027,2015/8/23
5,0.4588,2015/8/23
4,0.6705,2015/8/23
5,0.9189,2015/8/23
5,0.4404,2015/8/23
5,0.6249,2015/8/23
5,0.9794,2015/8/23
5,0.9616,2015/8/22
3,0.9468,2015/8/22
5,0.6249,2015/8/22
5,0.7955,2015/8/22
5,0.3875,2015/8/21
5,0.3948,2015/8/21
5,0,2015/8/21
3,-0.395,2015/8/21
5,0.9069,2015/8/21
5,0.6239,2015/8/21
5,0.8172,2015/8/21
5,0.3182,2015/8/21
5,0.9814,2015/8/21
5,0.9693,2015/8/21
4,-0.1419,2015/8/21
5,0,2015/8/21
3,0.7184,2015/8/21
5,0.8805,2015/8/21
5,0.9792,2015/8/21
5,0.7496,2015/8/21
5,0.6369,2015/8/21
5,0.128,2015/8/21
4,0,2015/8/21
4,0.8738,2015/8/21
2,0.1901,2015/8/20
5,0.6696,2015/8/20
5,0.4404,2015/8/20
3,0.7964,2015/8/20
5,0.6696,2015/8/20
5,0.9218,2015/8/20
5,0.9619,2015/8/20
3,0.2309,2015/8/20
2,-0.6593,2015/8/20
5,0.9388,2015/8/20
2,-0.4767,2015/8/20
5,0.9185,2015/8/20
5,0.9473,2015/8/20
5,0.4404,2015/8/20
4,-0.3087,2015/8/20
5,0.908,2015/8/20
5,0.2263,2015/8/20
5,0.9097,2015/8/20
5,0.9755,2015/8/20
5,0.5719,2015/8/20
5,0.966,2015/8/19
1,0,2015/8/19
4,0.9633,2015/8/19
5,0.7568,2015/8/19
5,0.6114,2015/8/19
5,0.75,2015/8/19
5,0.9183,2015/8/19
5,0.9313,2015/8/19
5,0.6249,2015/8/19
5,0.8555,2015/8/19
5,0.784,2015/8/19
5,0.5719,2015/8/19
5,0.7836,2015/8/19
5,0.9321,2015/8/19
5,0.7088,2015/8/19
5,0.784,2015/8/19
5,0.69,2015/8/19
4,0.6936,2015/8/18
5,0.7096,2015/8/18
5,0.9694,2015/8/18
3,0.9048,2015/8/18
5,0.6696,2015/8/18
5,0.6369,2015/8/18
3,-0.4939,2015/8/18
5,0.765,2015/8/18
5,0,2015/8/18
5,0,2015/8/18
