helpfulnessRatio,review_score,review_modifier_ratio,nlpScore,verified_purchase,vine
0.5,0.902,0,0.796151768,1,0
0.5,0.9289,0.003401361,0.883449384,1,0
0.333333333,0.5719,0,0.754826143,1,0
0.5,0.5719,0,0.815599068,1,0
0.5,0.6239,0,0.841875742,0,0
0.5,0.6249,0,0.773354654,1,0
0.5,0.6249,0.010380623,0.87447214,0,0
0.666666667,0.3612,0.013986014,0.823937065,1,0
0.5,0.9538,0,0.580203624,1,0
0.333333333,0.9798,0.012987013,0.856919974,1,0
0.5,0.7003,0,0.83338772,0,0
0.8,0.8478,0,0.860513753,1,0
0.5,0.4404,0,0.822922891,1,0
0.5,0.855,0,0.899019241,1,0
0.666666667,0.5095,0.003636364,0.87813813,1,0
0.5,0.9213,0,0.791181269,1,0
0.333333333,-0.1581,0.015151515,0.849338778,1,0
0.333333333,0.4404,0.004347826,0.870820735,1,0
0.5,0.4199,0,0.882925115,1,0
0.5,0.5994,0,0.729403762,1,0
0.5,0.991,0,0.593983518,1,0
0.5,0.938,0.003690037,0.892976328,1,0
0.5,0.5719,0,0.814701528,1,0
0.5,0.5927,0.004819277,0.897342582,1,0
0.5,0.4926,0.025974026,0.857705798,1,0
0.5,0.893,0.007092199,0.883455152,1,0
0.5,0.8774,0,0.800490927,1,0
0.5,0.7964,0,0.776265482,1,0
0.5,0.8009,0.005571031,0.898587005,0,1
0.5,0.9509,0,0.880131339,1,0
0.5,0.5368,0.011627907,0.858661147,1,0
0.5,0.8979,0.005988024,0.860441422,1,0
0.5,0.6369,0.015625,0.797490376,1,0
0.5,0.6784,0,0.820928113,1,0
0.5,0,0,0.547617226,1,0
0.5,0.9128,0,0.756250634,1,0
0.5,0.5994,0.010416667,0.836925376,1,0
0.5,0.8757,0,0.883127052,1,0
0.95,-0.6169,0.005952381,0.899110029,1,0
0.5,0.6588,0,0.830748459,1,0
0.75,0.4404,0.006042296,0.89943766,1,0
0.5,0.8906,0,0.682226503,1,0
0.5,0.8395,0,0.723437555,1,0
0.333333333,0.9771,0,0.86193251,1,0
0.5,0.9378,0,0.873275624,0,0
0.5,0.0387,0.005555556,0.894219209,1,0
0.5,0.8261,0.047619048,0.743915883,1,0
0.5,0,0.021276596,0.824088954,1,0
0.5,0.4215,0,0.794801647,1,0
0.5,0.0757,0.02173913,0.866175627,1,0
0.5,0.8869,0,0.750835537,1,0
0.5,0,0.002645503,0.90161863,0,1
0.5,0.8992,0.018867925,0.779764122,1,0
0.5,0.837,0,0.884150358,1,0
0.5,0.7021,0,0.866041252,1,0
0.666666667,0.9365,0.012987013,0.903007163,1,0
