,综合得分指数
0,0.20646842193361487
1,0.2140110898101443
2,0.1793104154002024
3,0.18581800769003073
4,0.1700891909395139
5,0.18877306536640534
6,0.19715882285187794
7,0.22272735353911813
8,0.2086612960001976
9,0.24033783139298973
10,0.1756225850442759
11,0.21717754185183522
12,0.17767177529934414
13,0.20446960488787583
14,0.19633528066941763
15,0.20764476024593276
16,0.19153517681590174
17,0.1790321249513988
18,0.17711995205385953
19,0.1868192603051577
20,0.21104509111610623
21,0.21523266715770073
22,0.18580912533486832
23,0.1961649871098358
24,0.2852385477783574
25,0.22039936445198874
26,0.20495346494257774
27,0.19964803264837758
28,0.5553564888081831
29,0.2102722731352709
30,0.21457678611993794
31,0.21756493392304802
32,0.2369426350758049
33,0.19257669382344977
34,0.14934393267692192
35,0.20685752902491575
36,0.2131854470086614
37,0.20559961803260685
38,0.17642438963675577
39,0.19143676888152783
40,0.20312996381532014
41,0.20502046354656364
42,0.20201055633909484
43,0.2068827565584929
44,0.19324167338019158
45,0.1653279936974154
46,0.4096998613892435
47,0.2393812709294568
48,0.17620297234330337
49,0.2452187383089589
50,0.2051861005670148
51,0.5336576797690024
52,0.26536209971702707
53,0.20318545575967442
54,0.19452436022629185
55,0.2489857322732423
56,0.1724136293916339
57,0.20152257209108648
58,0.12191845347694764
59,0.19725383543889363
60,0.19979669480150886
61,0.21551584155613948
62,0.15187519417241357
63,0.20783012640135368
64,0.5586425813607526
65,0.20867388486226687
66,0.1816490308816968
67,0.23757119305533866
68,0.2097709774142358
69,0.25486542217874036
70,0.23667340913709406
71,0.18877556077844576
72,0.40492215119565933
73,0.20135113054310133
74,0.16518277652881413
75,0.18499726509930775
76,0.2219113901624753
77,0.18730776186361464
78,0.3087284284336336
79,0.21708171514628558
80,0.1576549059693215
81,0.18594072116490304
82,0.5668501648171244
83,0.20621660506095207
84,0.15417381940661934
85,0.11657766826063354
86,0.23329486657728762
87,0.20589671386497416
88,0.2106423609604474
89,0.2003978177351278
90,0.15161952181592592
91,0.20610001344681295
92,0.1471636316475025
93,0.236498714327553
94,0.16895715235287692
95,0.14434869703366351
96,0.5324544406399148
97,0.22069002235870955
98,0.2164363439911727
99,0.44675187588801113
100,0.1549652547876689
101,0.18802968869963785
102,0.20736429743960222
103,0.15153175339128375
104,0.22078269449720717
105,0.13173269461144677
106,0.3384494016625894
107,0.20385458169691859
108,0.4225920168874208
109,0.2008760388954512
110,0.1974903220634782
111,0.2110851567381333
112,0.21637736173088196
113,0.20563876363502517
114,0.2075756537490306
115,0.18908181549458827
116,0.20179554694968801
117,0.14547877835624867
118,0.17926578768653448
119,0.1917867437924999
120,0.2078442386842297
121,0.19769036523130995
122,0.18976564952436775
123,0.2106608488410884
124,0.20596817286483235
125,0.2346111144691721
126,0.5374596326509574
127,0.19910012143317804
128,0.17463330766051757
129,0.18088837110864353
130,0.15067723457522506
131,0.5330779630412054
132,0.28190284822100947
133,0.18987571847189663
134,0.20068923526791246
135,0.1694788029588633
136,0.21189201560324472
137,0.22475642605298649
138,0.17315134215521177
139,0.1465692976601881
140,0.19420150244379322
141,0.20410142116841815
142,0.21114335848572646
143,0.19713052087130106
144,0.20306749356608025
145,0.15945964050951808
146,0.15199136369957572
147,0.5404868483682778
148,0.1549232786359867
149,0.19194640700134064
150,0.17753131085079643
151,0.19463225548885746
152,0.17947908978804666
153,0.2882086510442787
154,0.21664551325113804
155,0.17437982226469498
156,0.12080265972664948
157,0.20959504927486874
158,0.28627871168223434
159,0.3240313287569638
160,0.20873760511360379
161,0.17728498443280788
162,0.12754756317150634
163,0.20956801905496095
164,0.5591576279974378
165,0.20680329671504746
166,0.2108752982949587
167,0.2050560152570255
168,0.2103010009480152
169,0.15087541341971303
170,0.21120474618253668
171,0.22131836956076
172,0.2087667950895791
173,0.19734206271294347
174,0.23325518584665736
175,0.20891505660325868
176,0.2062084340368809
177,0.2041512345772666
178,0.20565146976963886
179,0.2601812479075108
180,0.5403186667343428
181,0.5332254620874789
182,0.1887913583153753
183,0.5375537108816629
184,0.5430706624422365
185,0.5392848178999544
186,0.20181123121459776
187,0.23691946990338222
188,0.2058056177869855
189,0.5354839678639047
190,0.23696375643549933
191,0.14385759772565337
192,0.1967953826484116
193,0.15035917658215223
194,0.16379161338656387
195,0.19251720672992878
196,0.20242383918156512
197,0.2096100892451684
198,0.2105156658823669
199,0.18015065205171407
200,0.1937643356025104
201,0.20771281288165902
202,0.18891172640336878
203,0.19333599345513164
204,0.20953673798449418
205,0.5789054506283676
206,0.5450394338606063
207,0.21915623706127724
208,0.18310937327407936
209,0.19823841183874932
210,0.5441680063004471
211,0.5446257500254612
212,0.20742430300516848
213,0.1990926430560853
214,0.15145081984255804
215,0.31021773771260325
216,0.14849352174440164
217,0.1983275103537923
218,0.2259405256534029
219,0.21325910548115173
220,0.15437882928499247
221,0.21314974142453025
222,0.20644290052988726
223,0.2015493026126689
224,0.5396607493214713
225,0.20663714211731948
226,0.24974431235461478
227,0.1791964900735057
228,0.20884246772372145
