helpfulnessRatio,review_score,review_modifier_ratio,nlpScore,verified_purchase,vine
0.5,0.902,0,0.801110865,1,0
0.5,0.9289,0,0.811250315,1,0
0.5,0.5719,0,0.804899228,1,0
0.5,0.5719,0,0.675034896,1,0
0.5,0.6239,0,0.727738585,1,0
0.5,0.6249,0,0.767629631,1,0
0.5,0.6249,0,0.768252614,1,0
0.5,0.3612,0.00952381,0.829315395,1,0
0.5,0.9538,0,0.845213557,1,0
0.5,0.9798,0.002659574,0.881818044,1,0
0.5,0.7003,0,0.758090894,1,0
0.5,0.8478,0,0.69449033,1,0
0.5,0.4404,0,0.78853882,1,0
0.5,0.855,0.009090909,0.877353258,1,0
0.5,0.5095,0.047619048,0.746612287,1,0
0.5,0.9213,0,0.855830059,1,0
0.5,-0.1581,0,0.835249141,1,0
0.5,0.4404,0,0.621750886,1,0
0.5,0.4199,0,0.605731134,1,0
0.5,0.5994,0,0.795668617,1,0
0.6,0.991,0.004310345,0.883024502,1,0
0.5,0.938,0,0.869192388,1,0
0.5,0.5719,0,0.614175953,1,0
0.5,0.5927,0.003773585,0.853683897,1,0
0.5,0.4926,0,0.613743816,1,0
0.5,0.893,0.01,0.823569472,1,0
0.5,0.8774,0,0.763695673,1,0
0.5,0.7964,0,0.849102063,1,0
0.5,0.8009,0.003571429,0.838259817,1,0
0.5,0.9509,0.005494505,0.789128687,1,0
0.5,0.5368,0.004098361,0.834994154,1,0
0.5,0.8979,0.008928571,0.846170473,1,0
0.5,0.6369,0,0.668776047,1,0
0.5,0.6784,0,0.766411505,1,0
0.5,0,0,0.675688668,1,0
0.761904762,0.9128,0.004987531,0.850416383,1,0
0.5,0.5994,0.008264463,0.8305743,1,0
0.761904762,0.8757,0.003436426,0.843587255,1,0
0.5,-0.6169,0,0.825580544,1,0
0.5,0.6588,0,0.644440485,1,0
0.5,0.4404,0,0.575501275,1,0
0.5,0.8906,0,0.842662359,1,0
0.5,0.8395,0.023076923,0.870638,1,0
0.5,0.9771,0.006944444,0.837607718,1,0
0.666666667,0.9378,0.004170142,0.88250243,0,0
0.5,0.0387,0,0.817087881,1,0
0.857142857,0.8261,0.008547009,0.842603226,1,0
0.5,0,0.009345794,0.8074358,1,0
0.5,0.4215,0,0.854458096,1,0
0.5,0.0757,0,0.785911051,1,0
0.5,0.8869,0,0.882755851,1,0
0.5,0,0,0.781067181,1,0
0.5,0.8992,0,0.820449815,1,0
0.5,0.837,0,0.829435246,1,0
0.857142857,0.7021,0.00867052,0.82778913,1,0
0.5,0.9365,0.003703704,0.845721099,1,0
0.5,0.3818,0,0.773414749,1,0
0.5,0.8122,0.014084507,0.793772442,1,0
0.333333333,-0.7217,0,0.78291319,1,0
0.5,0.7489,0.017857143,0.722904079,1,0
0.5,0.8988,0.006514658,0.861404081,1,0
0.5,0.928,0.01183432,0.870432276,1,0
0.5,0,0,0.715163401,1,0
0.5,0.9259,0,0.865663142,1,0
0.5,0.9796,0.01529052,0.875917824,1,0
0.666666667,0.9324,0.003344482,0.858824121,1,0
0.5,0.5106,0,0.799263407,1,0
0.5,0.941,0,0.794703092,1,0
0.5,0.6988,0,0.749540227,1,0
0.5,0.5551,0.033333333,0.705848579,1,0
0.5,0.8927,0.028571429,0.778823097,1,0
0.5,0.6114,0,0.814561104,1,0
0.5,0,0,,1,0
0.5,0.7096,0,0.830280525,1,0
0.5,0.2217,0,0.794966096,1,0
0.5,0.5719,0,0.804481136,1,0
0.5,0.4019,0,0.879549856,1,0
0.5,0.5949,0,0.770991359,1,0
0.5,0.1002,0,0.829806219,1,0
0.5,0.9156,0,0.853622432,1,0
0.5,0.4482,0,0.863233855,1,0
0.5,0.5719,0,0.855533369,1,0
0.5,0.6369,0,0.666654177,1,0
0.75,0.8997,0,0.820337267,1,0
0.5,0.0516,0,0.831644576,1,0
0.5,-0.5815,0,0.833382099,1,0
0.5,0.0626,0.009803922,0.826272052,1,0
0.5,0.9033,0,0.755157453,1,0
0.5,0.9638,0.005524862,0.8097374,1,0
0.5,0.802,0,0.849971898,1,0
0.5,0,0,0.802717689,1,0
0.666666667,0.8918,0.009852217,0.820825628,1,0
0.5,-0.8279,0,0.784715175,1,0
0.5,0.925,0.0078125,0.828326855,1,0
0.5,0.3164,0.003984064,0.870966377,1,0
0.5,0,0,0.860811035,1,0
0.5,0,0,0.805586739,1,0
0.5,0.9509,0.011363636,0.815703709,1,0
0.5,0.2924,0,0.866075403,1,0
0.5,0.9282,0,0.811521216,1,0
0.5,0.0617,0,0.717714802,1,0
0.5,0.6249,0,0.786934342,1,0
0.5,0.9181,0,0.737009942,1,0
0.5,0,0,0.775618636,1,0
0.5,0.9584,0,0.835129759,1,0
0.5,-0.128,0.014285714,0.842226927,1,0
0.5,-0.2235,0,0.657074012,1,0
0.5,0.8481,0,0.82442768,1,0
0.5,0.9184,0.018181818,0.764302563,1,0
0.5,0.8268,0,0.785776574,1,0
0.5,0.765,0.015873016,0.745425558,1,0
0.5,0.9704,0.006849315,0.884017749,1,0
0.5,0.9195,0.005681818,0.83083981,1,0
0.5,0.8779,0,0.854281963,1,0
0.5,0.9108,0.030769231,0.691443369,1,0
0.333333333,-0.6381,0,0.751036952,1,0
0.5,0.8192,0.008230453,0.855853532,1,0
0.5,-0.1027,0.00877193,0.837107053,1,0
0.5,0.4588,0,0.695100154,1,0
0.5,0.6705,0,0.766749786,0,0
0.5,0.9189,0,0.807760415,1,0
0.5,0.4404,0,0.578916129,1,0
0.5,0.6249,0,0.798284564,1,0
0.5,0.9794,0,0.86764581,1,0
