,综合得分指数
0,0.14467725470859938
1,0.14598062860505084
2,0.1302570694048221
3,0.12884015872642246
4,0.13163092252717448
5,0.13210652835490136
6,0.13211356392676343
7,0.13700472500497982
8,0.14745773984355254
9,0.15116563272964414
10,0.13529872762416148
11,0.14123135293594413
12,0.12445935504916586
13,0.15630514786436497
14,0.2963963681512609
15,0.14613999970041763
16,0.10255474421639829
17,0.12267154612010059
18,0.12165934596932289
19,0.13132858506143685
20,0.15690979065315883
21,0.147033926018349
22,0.1283157190627523
23,0.13524804086680559
24,0.12485441719696257
25,0.1593867840254236
26,0.1431978320019765
27,0.14055851534056693
28,0.1438056460970313
29,0.152594743949154
30,0.1330744772416645
31,0.15739016292578945
32,0.13163206084035303
33,0.1344281681174534
34,0.10555555326117731
35,0.16057870657183507
36,0.1433190233879885
37,0.15699406684610753
38,0.09087498669814127
39,0.1323893595180368
40,0.1223033803951672
41,0.14463106063212977
42,0.1998440147532048
43,0.15670888584598205
44,0.14684435599766602
45,0.10898876899931073
46,0.16758924387130925
47,0.1235303484002681
48,0.12457294689656147
49,0.1098632696349406
50,0.14494475420533312
51,0.10701785860311441
52,0.14476193890909664
53,0.1421121958986272
54,0.16318779086668986
55,0.15003083970375325
56,0.12181623327383832
57,0.16689968720542464
58,0.07952967777530652
59,0.17633652099141572
60,0.1528098422547698
61,0.16590065741625867
62,0.10606332559519023
63,0.14645799458902506
64,0.17776865179619583
65,0.1554219550766164
66,0.12756516968270895
67,0.14634556429662057
68,0.13514220082948905
69,0.23406606348944814
70,0.22253348232996617
71,0.1320780881549554
72,0.10338890248958375
73,0.13653275709089485
74,0.11561059241720895
75,0.13025187172025954
76,0.1241387927409545
77,0.13084288733975186
78,0.11146506790764944
79,0.14586246988029686
80,0.1258095212028258
81,0.1309161783685813
82,0.1316131610863519
83,0.15418978137356487
84,0.10969819701958522
85,0.09166128437428725
86,0.12716848211866275
87,0.14426911890878819
88,0.1534210956098498
89,0.14081474191317558
90,0.10735990338425645
91,0.164631548258418
92,0.0873935378875792
93,0.15601467415061926
94,0.12436450548312372
95,0.10834519528554248
96,0.10740626727587912
97,0.16505175308786674
98,0.11949217171945332
99,0.14595241021151173
100,0.10837466964216488
101,0.13232866172317867
102,0.14475907548277678
103,0.10693397065342518
104,0.1475498146149239
105,0.1370584017648753
106,0.09769928571904435
107,0.14254496245689774
108,0.18380456116089786
109,0.14117744608002983
110,0.17033772355634816
111,0.15676482565728972
112,0.15195310016085595
113,0.14420556496985446
114,0.23156260331914955
115,0.08021111683150643
116,0.15267975194056796
117,0.11914847211879032
118,0.12415442994109492
119,0.1216905948301154
120,0.14549895759194115
121,0.12232862784985243
122,0.13246322275822317
123,0.1488466881619753
124,0.15934439100498823
125,0.15977333262307855
126,0.13089252011930527
127,0.14009807614635486
128,0.12037760362696537
129,0.12310165777687947
130,0.10577389019048562
